"Utils","Úteis"
"Gamuza Utils Section","Seção Úteis da Gamuza"
"Manage Carriers","Gerenciar Transportadoras"
"Carriers Manager","Gerenciador de Transportadoras"
"Add New Item","Adicionar Novo Item"
"Reset Filter","Zerar Filtro"
"Search","Pesquisar"
"Carriers Name","Nome da Transportadora"
"Carriers Description","Descrição da Transportadora"
"Item Information","Informação do Item"
"View Item '%'", "Visualizar Item '%s'"
"Add Item","Adicionar Item"
"Back","Voltar"
"Reset","Zerar"
"Save Item","Salvar Item"
"Save And Continue Edit","Salvar e Continuar Editando"
"This is a required field.","Este é um campo requerido."
"Carriers was successfully saved","Transportadora salva com sucesso."
"Edit Item '%s'","Editar Item '%s'"
"Delete Item","Excluir Item"
"Are you sure you want to do this?","Tem certeza que deseja fazer isso?"
"Item was successfully deleted","Item foi excluído com sucesso."
"Default Settings","Ajustes Padrão"
"Tracking URL","URL para Rastreio"
"Use jQuery library","Usar biblioteca jQuery"
"Use jQuery noConflict method","Usar método noConflict do jQuery"
